Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
210,2025-05-15,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,314.1,318,313.1,314.42,60818,19151900.1,315.64,433,284,2025-05-15T14:59:55.829598,314,440,314.9,18865.2
211,2025-05-15,8034,ENL,Emerging Nepal Limited,1097,1143,1097,1107.96,1436,1605539,1107.71,1453.5,810,2025-05-15T14:57:18.342349,1110,66,1118.06,6155.83
212,2025-05-15,8041,NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,1630,1630,1615,1615.88,865,1401899.6,1620,2641,1613,2025-05-15T14:58:47.820541,1615,38,1620.69,4707.66
213,2025-05-15,8043,CBLD88,Civil Bank Debenture 2088,1131,1131,1131,1131,25,28275,1131,1254.2,1018,2025-05-15T11:24:38.701901,1131,1,1131,3393
214,2025-05-15,8044,EBLD86,Everest Bank Limited,1061,1061,1061,1065,5,5325,1061,1080,937,2025-05-15T14:23:25.003071,1061,2,1065,912.47
215,2025-05-15,8066,RFPL,River Falls Power Limited,510,513,493,494.93,27896,13967491.1,512.78,1484,333.8,2025-05-15T14:59:55.268081,493,282,500.69,3464.51
216,2025-05-15,8070,DORDI,Dordi Khola Jal Bidyut Company Limited,402.7,418,401.1,403.52,26496,10739868.6,410.89,696,350,2025-05-15T14:59:57.300364,405,193,405.33,8508.3
217,2025-05-15,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,505,510,490,492.16,16181,8049548.7,514.25,829.7,472.2,2025-05-15T14:59:57.956219,490,188,497.46,5560.42
218,2025-05-15,8098,SBLD89,10.75% SBL Debenture 2089,1275,1275,1275,1275,50,63750,1278.3,1278.3,1056.5,2025-05-15T14:41:03.83011,1275,1,1275,5100
219,2025-05-15,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,463.9,475,463.9,472.44,5041,2376363.3,473.1,649.5,314,2025-05-15T14:59:54.717103,467,72,471.4,7525.97
220,2025-05-15,8106,GIBF1,Global IME Balanced Fund-1,10.36,10.41,10.21,10.36,192100,1987771,10.34,10.72,8,2025-05-15T14:56:36.589458,10.36,27,10.34,1062.69
221,2025-05-15,8108,RHGCL,Rapti Hydro And General Construction Limited,536,552,535,546.74,33220,18152285.2,546.84,708,332.8,2025-05-15T14:59:59.2286,546.1,288,546.42,3350.39
222,2025-05-15,8110,SBID83,10.25% Nepal SBI Bank Debenture 2083,1100,1100,1078.1,1099.6,567,623055.7,1099,1147.4,1015.1,2025-05-15T14:08:42.185394,1099.6,3,1098.86,2640.67
223,2025-05-15,8116,PBD84,10.15% Prime Debenture 2084,1112,1112,1112,1112,10,11120,1095,1123,1000,2025-05-15T12:36:16.046539,1112,1,1112,
224,2025-05-15,8121,SPHL,Sayapatri Hydropower Limited,704,717.7,683,689.52,2280,1570855.8,692,922,452.3,2025-05-15T14:59:52.499115,690.1,32,688.97,2068.56
225,2025-05-15,8023,MMF1,Mega Mutual Fund -1,8.77,9.19,8.76,9.08,374130,3394063.2,8.94,9.72,7.02,2025-05-15T14:56:36.013281,9.09,66,9.07,1135
226,2025-05-15,8025,SPC,Samling Power Company Limited,521.1,530,519.7,520.29,17966,9365770.8,525.19,722,471.7,2025-05-15T14:59:52.707876,519.9,155,521.3,2601.45
227,2025-05-15,8026,NYADI,Nyadi Hydropower Limited,478.4,478.4,450,452.47,40014,18277363.3,469.06,880,280,2025-05-15T14:59:46.943032,454,307,456.77,6787.05
228,2025-05-15,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,496,507,487,493.45,9628,4762481.8,497.1,742,440,2025-05-15T14:56:53.069286,493,114,494.64,1973.8
229,2025-05-15,8045,GVL,Green Ventures Limited,440.2,444,436.1,441.88,12943,5702855.9,444.4,699.9,424,2025-05-15T14:59:50.456753,441.2,181,440.61,15189.63
230,2025-05-15,8055,BHL,Balephi Hydropower Limited,220,220,216.3,217.07,250905,54588029.9,218.2,520,211.7,2025-05-15T14:59:56.700231,217.3,1014,217.56,7935.95
231,2025-05-15,8063,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,3180,3550,3121,3546.38,19687,68722168.2,3235.18,6600,1715,2025-05-15T14:53:52.563544,3479,126,3490.73,3764.42
